category,section,format,count
overall_unique_players,any,test,3219
overall_unique_players,any,odi,3092
overall_unique_players,any,t20,4812
section_format_players,batting,test,3219
section_format_players,batting,odi,3092
section_format_players,batting,t20,4812
section_format_players,bowling,test,3219
section_format_players,bowling,odi,3092
section_format_players,bowling,t20,4812
section_format_players,fielding,test,3219
section_format_players,fielding,odi,3092
section_format_players,fielding,t20,4812
format_combination,any,only_test,1529
format_combination,any,only_odi,599
format_combination,any,only_t20,3228
format_combination,any,test_odi_only,939
format_combination,any,test_t20_only,30
format_combination,any,odi_t20_only,833
format_combination,any,all_three_formats,721
format_combination,any,total_players_in_json,7879
format_combination,any,total_players_with_any_format_stats,7879
